title,release_year,genres,budget,revenue,roi,imdb_score
Decibel,2022,Action,12000000000,7212471,-1,6.1
Danny Says,2016,Biography,700000,44213,-0.94,6.8
The Night Before,2015,Holiday Comedy,25000000,52395996,1.1,6.4
Breaking In,2018,Action,6000000,51411620,7.57,5.5
Hereditary,2018,Psychological Horror,10000000,87819062,7.78,7.3
Jane Got a Gun,2016,Period Drama,25000000,3067531,-0.88,5.9
Sgt. Stubby: An American Hero,2018,Computer Animation,25000000,4932694,-0.8,6.9
Black Panther: Wakanda Forever,2022,Superhero,250000000,859208836,2.44,6.6
Immaculate,2024,Horror,9000000,35340015,2.93,5.8
Pacific Rim: Uprising,2018,Kaiju,150000000,290930148,0.94,5.6
The Bricklayer,2024,Action,23900000,899683,-0.96,5.2
Uncharted,2022,Globetrotting Adventure,120000000,407141258,2.39,6.3
Godzilla Minus One,2023,Action Epic,15000000,113676322,6.58,7.7
Birdboy: The Forgotten Children,2017,Adult Animation,1000000,54845,-0.95,7.2
Noroi,2017,Found Footage Horror,2000000,6819,-1,6.8
Fantastic Beasts: The Secrets of Dumbledore,2022,Dark Fantasy,200000000,407150844,1.04,6.2
Cuando sea joven,2022,Comedy,5000000,2028077,-0.59,7.1
Clerks III,2022,Buddy Comedy,7000000,4717597,-0.33,6.2
Room,2016,Psychological Drama,13000000,35402766,1.72,8.1
The Bikeriders,2024,Gangster,40000000,36159144,-0.1,6.6
Julieta,2016,Tragic Romance,1350000,22521904,15.68,7.1
The Janky Promoters,2022,Buddy Comedy,10000000,9069,-1,5.1
Sultan,2016,Action,13430000,98251790,6.32,7.1
Handling the Undead,2024,Supernatural Horror,4500000,260627,-0.94,5.4
About My Father,2023,Comedy,30000000,18167819,-0.39,5.7
Goosebumps 2: Haunted Halloween,2018,Adventure,35000000,93320380,1.67,5.6
The Snowman,2017,Serial Killer,35000000,43084060,0.23,5.2
Amsterdam,2022,Conspiracy Thriller,80000000,31245810,-0.61,6.1
In the Name of My Daughter,2015,True Crime,8000000,2537899,-0.68,6.1
Time Changer,2016,Time Travel,825000,1305964,0.58,5.3
21 Bridges,2019,Conspiracy Thriller,33000000,49939757,0.51,6.6
The Situation,2021,Drama,1000000,48896,-0.95,6.3
Cuckoo,2024,Teen Horror,7000000,6680396,-0.05,5.7
Solo: A Star Wars Story,2018,Sci-Fi Epic,275000000,392924807,0.43,6.9
The Church,2019,Horror,1000000,772000,-0.23,2.7
Hidden Blade,2023,Period Drama,300000000,136784593,-0.54,6.3
Mira,2022,Adventure,500000000,5494204,-0.99,5.8
Murder on the Orient Express,2017,Whodunnit,55000000,352794081,5.41,6.5
Abracadabra,2017,Romantic Comedy,5200000,1808361,-0.65,5.7
Scouts Guide to the Zombie Apocalypse,2015,Slapstick,15000000,16137046,0.08,6.3
The Killer's Game,2024,Action,30000000,5928351,-0.8,5.8
Resident Evil: Welcome to Raccoon City,2021,Monster Horror,25000000,41914915,0.68,5.2
Halloween,2018,Serial Killer,10000000,259939869,24.99,6.5
Paris Can Wait,2017,Road Trip,5000000,13203541,1.64,5.8
Disturbing the Peace,2020,Contemporary Western,5000000,49104,-0.99,3.4
The Lion King,2019,Adventure Epic,260000000,1662020819,5.39,6.8
The Peanuts Movie,2015,Computer Animation,99000000,246233113,1.49,7
Spider-Man: Across the Spider-Verse,2023,Computer Animation,150000000,690824738,3.61,8.5
Coco,2017,Computer Animation,175000000,814641172,3.66,8.4
Unfriended: Dark Web,2018,Cyber Thriller,1000000,16024987,15.02,6
Everybody Knows,2019,Crime,10000000,19730818,0.97,6.9
The Monkey King 3,2018,Action,73000000,115084576,0.58,5.5
Firestarter,2022,Drama,12000000,15039250,0.25,4.6
Black Panther,2018,Superhero,200000000,1349926083,5.75,7.3
Ammonite,2020,Period Drama,10000000,1109287,-0.89,6.5
Kung Fu Yoga,2017,Action,65000000,257753889,2.97,5.2
Hounds of War,2024,Action,13000000,126540,-0.99,4.5
Seed: The Untold Story,2016,Documentary,650000,209752,-0.68,7.6
Like a Boss,2020,Comedy,29000000,30399490,0.05,4.7
The King's Case Note,2017,Comedy,8540000,11383493,0.33,6.4
Diabolik,2021,Action,8500000,3231422,-0.62,5.9
Bitter Harvest,2017,Drama,30000000,904399,-0.97,5.9
Green Room,2016,Splatter Horror,5000000,3767402,-0.25,7
G.O.R.A.,2017,Adventure,5000000,20839049,3.17,8
Extraction,2015,Dark Comedy,12000000,710636,-0.94,4.1
The Girl in the Spider's Web,2018,Cyber Thriller,43000000,35164920,-0.18,6.1
The BFG,2016,Adventure,140000000,195243411,0.39,6.3
Leo Da Vinci: Mission Mona Lisa,2019,Adventure,10000000,2635349,-0.74,5.1
Maggie,2015,Zombie Horror,1400000,1663165,0.19,5.6
Raw,2017,Body Horror,3500000,3098251,-0.11,6.9
Replicas,2019,Action,30000000,9330075,-0.69,5.5
Nobody,2021,One-Person Army Action,16000000,57510518,2.59,7.4
Goosebumps,2015,Adventure,58000000,158261424,1.73,6.3
The New Mutants,2020,Psychological Horror,67000000,49169594,-0.27,5.3
How to Be Single,2016,Romantic Comedy,38000000,112543513,1.96,6.1
Captain Marvel,2019,Quest,160000000,1131416446,6.07,6.8
Daisy Winters,2019,Drama,2500000,123773,-0.95,6.5
American Made,2017,Drug Crime,50000000,134866593,1.7,7.1
Little Italy,2018,Romantic Comedy,8000000,1362536,-0.83,5.7
A Quiet Passion,2017,Tragedy,6900000,4159246,-0.4,6.4
Creed II,2018,Boxing,50000000,214215889,3.28,7.1
Red One,2024,Holiday Comedy,250000000,185900759,-0.26,6.3
Unfavorable Odds,2022,Comedy,3500000,86203,-0.98,3.2
Mama Weed,2021,Comedy,5800000,5461144,-0.06,6.3
Vikram,2022,Gun Fu,1500000000,29837637,-0.98,8.3
Ophelia,2019,Drama,12000000,338940,-0.97,6.5
Bad Times at the El Royale,2018,Suspense Mystery,32000000,31882724,0,7.1
Hustlers,2019,Workplace Drama,20000000,157563598,6.88,6.3
Little,2019,Body Swap Comedy,20000000,49000667,1.45,5.5
Mr. Holmes,2015,Crime,11000000,29355203,1.67,6.8
Turning Red,2022,Coming-of-Age,175000000,21813358,-0.88,6.9
Mission: Impossible - Fallout,2018,Action Epic,178000000,791658205,3.45,7.7
Beautiful Boy,2018,Docudrama,25000000,31749905,0.27,7.4
Benedetta,2021,Period Drama,24350000,4265353,-0.82,6.7
K-12,2019,Body Horror,5000000,359377,-0.93,6.5
10 Things We Should Do Before We Break Up,2020,Romance,25000000,59110,-1,4.7
Flee,2021,Animation,3400000,711676,-0.79,7.9
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Superhero,135000000,245623848,0.82,5.9
Of Horses and Men,2015,Dark Comedy,10000000,239969,-0.98,6.8
Term Life,2016,Action,16500000,243793,-0.99,5.6
Strange Darling,2024,Erotic Thriller,4000000,4853595,0.21,7.1
The Moon,2023,Space Sci-Fi,28000000000,5202321,-1,5.8
Aloha,2015,Romantic Comedy,37000000,26250020,-0.29,5.4
Laal Singh Chaddha,2022,Epic,1800000000,12093536,-0.99,5.6
Follemente,2025,Comedy,8300000,17132881,1.06,7.2
Emilia Pérez,2024,Pop Musical,25000000,16309290,-0.35,5.4
Mondocane,2021,Action,4944900,130762,-0.97,6.1
The Hitman's Bodyguard,2017,Buddy Cop,30000000,183431147,5.11,6.9
Shaft,2019,Buddy Cop,35000000,21360215,-0.39,6.4
Freeheld,2016,Legal Drama,7000000,1447337,-0.79,6.6
Concussion,2015,Football,35000000,48623572,0.39,7.1
Twilight of the Warriors: Walled In,2024,Martial Arts,300000000,17115806,-0.94,7
Patriots Day,2017,Police Procedural,45000000,52185751,0.16,7.3
The Catcher Was a Spy,2018,Biography,14000000,953953,-0.93,6.3
There's Still Tomorrow,2025,Comedy,8300000,50077817,5.03,7.7
Gotti,2018,True Crime,10000000,6412349,-0.36,4.8
Tomorrowland,2015,Quest,190000000,209035668,0.1,6.4
Gabo: The Creation of Gabriel Garcia Marquez,2015,Biography,280000,19337,-0.93,7.2
Mufasa: The Lion King,2024,Animal Adventure,200000000,719597603,2.6,6.6
The Gentlemen,2020,Caper,22000000,115175729,4.24,7.8
Gladiator II,2024,Action Epic,250000000,462180717,0.85,6.5
Freelance,2023,Action,40000000,10196704,-0.75,5.5
Vice,2018,Dark Comedy,60000000,76073488,0.27,7.2
Around the World in 80 Days,2021,Globetrotting Adventure,20000000,5249640,-0.74,4.7
Us,2019,Dark Comedy,20000000,256071218,11.8,6.8
Along With the Gods: The Last 49 Days,2018,Action,35000000000,99066508,-1,7.1
Sleight,2017,Crime,250000,3989705,14.96,5.9
The Current War,2019,Biography,30000000,12217160,-0.59,6.5
The Outpost,2020,Docudrama,18000000,2327336,-0.87,6.8
Booksmart,2019,Buddy Comedy,6000000,24959607,3.16,7.1
99 Homes,2015,Crime,8000000,1828232,-0.77,7.1
Mary Poppins Returns,2018,Supernatural Fantasy,130000000,362529106,1.79,6.7
The Workshop,2017,Drama,3501774,1000056,-0.71,6.5
The Devil Below,2021,B-Horror,2650800,12008,-1,4.3
La città proibita,2025,Action,17000000,1223210,-0.93,7.1
A Aa,2016,Romantic Comedy,350000000,2313043,-0.99,6.8
Babylon,2022,Costume Drama,110000000,65267446,-0.41,7.1
Adrift,2018,Disaster,35000000,59945012,0.71,6.6
The Lego Movie 2: The Second Part,2019,Alien Invasion,99000000,199603202,1.02,6.5
The Forgotten Carols,2020,Musical,300000,502252,0.67,8.4
Ambulance,2022,Cop Drama,40000000,52303589,0.31,6.1
The Hunt,2020,Dark Comedy,14000000,10550350,-0.25,6.6
The Two Popes,2019,Docudrama,40000000,243711,-0.99,7.6
Poor Things,2023,Dark Comedy,35000000,117625455,2.36,7.8
A Tale of Love and Darkness,2016,Biography,4000000,724885,-0.82,6
Sweet Bean,2015,Drama,234000000,4728350,-0.98,7.4
Willy's Wonderland,2021,Dark Comedy,5500000,457144,-0.92,5.5
Encanto,2021,Computer Animation,50000000,261284192,4.23,7.2
Mamma Mia! Here We Go Again,2018,Jukebox Musical,75000000,395607854,4.27,6.6
Chaos Walking,2021,Coming-of-Age,125000000,26508132,-0.79,5.7
Zero,2018,Comedy,2000000000,18412196,-0.99,5.2
"Where'd You Go, Bernadette",2019,Comedy,20000000,11025353,-0.45,6.5
Upgrade,2018,Artificial Intelligence,5000000,16706680,2.34,7.5
But Deliver Us from Evil,2017,Horror,250000,285169,0.14,2.6
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Dystopian Sci-Fi,100000000,348900019,2.49,6.7
Straight Outta Compton,2015,Docudrama,28000000,201634991,6.2,7.8
Pride and Prejudice and Zombies,2016,Dark Comedy,28000000,16457494,-0.41,5.8
Selma,2015,Docudrama,20000000,67782762,2.39,7.5
The Upside,2019,Comedy,37500000,125856180,2.36,7
Never Let Go,2024,Horror,25000000,16573225,-0.34,5.4
Everest,2015,Docudrama,55000000,203427584,2.7,7.1
Free State of Jones,2016,Action,50000000,25035950,-0.5,6.9
Censored Voices,2015,Documentary,450000,41260,-0.91,7.3
The House,2017,Farce,40000000,34284504,-0.14,5.6
L'attesa,2016,Drama,3200850,1010766,-0.68,6.5
Wildflower,2016,Drama,650000,68577,-0.89,5.3
Memory,2024,Drama,100000,2074586,19.75,6.7
Loving,2016,Biography,9000000,12957265,0.44,7
It Ends with Us,2024,Drama,25000000,351441044,13.06,6.4
Slow West,2015,Adventure,2000000,1295574,-0.35,6.9
Ford v Ferrari,2019,Docudrama,97600000,226299480,1.32,8.1
The Bad Guys,2022,Animal Adventure,70000000,250387888,2.58,6.8
Marriage Story,2019,Drama,18600000,333686,-0.98,7.9
How to Train Your Dragon: The Hidden World,2019,Computer Animation,129000000,539987993,3.19,7.4
The Truth,2020,Comedy,5910000,5262850,-0.11,6.5
Fitoor,2016,Drama,9000000,3454709,-0.62,5.4
The King,2019,Historical Epic,23000000,126931,-0.99,7.3
Strike,2020,Adventure,16800000,24743,-1,5.2
Revelation: Dawn of Global Government,2016,Documentary,1000000,19107,-0.98,7.1
Blacklight,2022,Action,43000000,15902207,-0.63,4.8
The Loft,2015,Mystery,14000000,11020402,-0.21,6.3
Boy Erased,2018,Coming-of-Age,11000000,11853081,0.08,6.9
Frantz,2017,Drama,9474971,7478354,-0.21,7.5
"tick, tick... BOOM!",2021,Docudrama,55000000,112777,-1,7.5
A Man Called Otto,2023,Comedy,50000000,113360085,1.27,7.5
Rock the Kasbah,2015,Comedy,15000000,3394174,-0.77,5.5
Ready or Not,2019,Dark Comedy,6000000,57615777,8.6,6.8
Don't Worry Darling,2022,Psychological Thriller,20000000,87609403,3.38,6.3
Valley of Love,2015,Drama,2900626,1264277,-0.56,6.1
Poms,2019,Comedy,10000000,16418218,0.64,6.1
Baahubali 2: The Conclusion,2017,Action Epic,2500000000,254158390,-0.9,8.2
Blades in the Darkness,2022,Action,500000,10072,-0.98,5.5
The 33,2015,Disaster,26000000,27972023,0.08,6.9
Haunted Mansion,2023,Supernatural Fantasy,150000000,117449790,-0.22,6
Triple 9,2016,Heist,20000000,23177948,0.16,6.3
Godzilla: King of the Monsters,2019,Action Epic,170000000,387300138,1.28,6
Batman: The Killing Joke,2016,Adult Animation,3500000,4462034,0.27,6.4
Bramayugam,2024,Drama,280000000,1384427,-1,7.8
The Visit,2015,Dark Comedy,5000000,98450062,18.69,6.3
The Call of the Wild,2020,Adventure Epic,135000000,111166669,-0.18,6.7
Ala Vaikunthapurramuloo,2020,One-Person Army Action,800000000,28477890,-0.96,7.3
La Chimera,2024,Period Drama,9600000,5233127,-0.45,7.3
Scream,2022,Slasher Horror,24000000,137743924,4.74,6.3
Lost Angel: The Genius of Judee Sill,2024,Documentary,250000,14463,-0.94,7.6
Truth,2015,Political Drama,9600000,5383097,-0.44,6.8
Truth or Dare,2018,Slasher Horror,3500000,95330710,26.24,5.2
Unit 262,2023,Action,300000,160357,-0.47,1.6
More Than Funny,2018,Comedy,50000,290498,4.81,9.1
Te Ata,2017,Biography,2500000,73236,-0.97,7.4
Tale of Tales,2016,Dark Fantasy,12000000,5500277,-0.54,6.4
Stardust,2020,Biography,5500000,62251,-0.99,4.4
Inherent Vice,2015,Bumbling Detective,20000000,14810975,-0.26,6.6
Minions: The Rise of Gru,2022,Computer Animation,80000000,940482695,10.76,6.5
Magician: The Astonishing Life and Work of Orson Welles,2015,Biography,813505,16400,-0.98,6.9
Shadow,2018,Wuxia,300000000,91708374,-0.69,7
The Night of the 12th,2022,Cop Drama,4400000,3842534,-0.13,7
Friend Request,2017,Horror,9900000,10975390,0.11,5.2
The Glass Castle,2017,Coming-of-Age,9000000,22088533,1.45,7.1
Flight Risk,2025,Action,26000000,44112532,0.7,5.3
Love & Friendship,2016,Costume Drama,3000000,21401949,6.13,6.4
Beetlejuice Beetlejuice,2024,Dark Comedy,100000000,451900435,3.52,6.7
Hellboy: The Crooked Man,2024,Body Horror,20000000,2014050,-0.9,4.5
The Poet,2025,Period Drama,800000000,17542288,-0.98,7.2
Puss in Boots: The Last Wish,2022,Animal Adventure,90000000,481757663,4.35,7.8
The Monster,2016,Monster Horror,2700000,74700,-0.97,5.4
Saint Michael Meet the Angel,2022,Documentary,200000,758790,2.79,6.9
Christian Mingle,2015,Comedy,650000,25480,-0.96,4.2
Fighting with My Family,2019,Docudrama,11000000,41503392,2.77,7
The Matrix Resurrections,2021,Cyberpunk,190000000,157386805,-0.17,5.6
The Dressmaker,2015,Dark Comedy,17000000,23846928,0.4,7
Nosferatu,2024,Dark Fantasy,50000000,180612427,2.61,7.3
Paradise City,2022,Action,20000000,93526,-1,3.7
The Grudge,2020,Supernatural Horror,10000000,49511319,3.95,4.4
Late Shift,2025,Drama,3700000,1687711,-0.54,8.4
Once Upon a Time... in Hollywood,2019,Period Drama,90000000,392105159,3.36,7.6
2,2018,Action Epic,5700000000,36945969,-0.99,6
Cyrano,2022,Costume Drama,30000000,6397112,-0.79,6.4
The Misfits,2021,Adventure,15000000,1565302,-0.9,4.5
Stronger,2017,Docudrama,30000000,8503658,-0.72,6.9
Crack House of the Dead,2021,Action,175000,1616,-0.99,4.6
Devotion,2022,Action,90000000,21768133,-0.76,6.6
Deepwater Horizon,2016,Disaster,110000000,121790373,0.11,7.1
The Duke of Burgundy,2015,Dark Romance,1000000,185147,-0.81,6.5
Brightburn,2019,Drama,6000000,33224654,4.54,6.1
'85: The Greatest Team in Football History,2016,Documentary,650000,124573,-0.81,6.8
Wild Oats,2016,Action,10000000,247949,-0.98,5.7
Sniper. The White Raven,2022,Drama,997800,6105,-0.99,6.4
Ghostbusters: Frozen Empire,2024,Supernatural Fantasy,100000000,201967521,1.02,6.1
The Amendment,2018,Action,2000000,27961,-0.99,6.7
Opus,2025,Psychological Drama,10000000,1922230,-0.81,5.9
Black Mass,2015,Docudrama,53000000,99975678,0.89,6.8
The Little Mermaid,2023,Fairy Tale,355100000,569626289,0.6,7.2
The Finest Hours,2016,Disaster,80000000,52099090,-0.35,6.7
Bumblebee,2018,Alien Invasion,135000000,467989645,2.47,6.7
Hunter Killer,2018,Action,40000000,31676147,-0.21,6.6
Ant-Man and the Wasp: Quantumania,2023,Superhero,200000000,476071180,1.38,6
A Soldier's Story 2: Return from the Dead,2021,Action,500000,21543,-0.96,4.8
Argylle,2024,Spy,200000000,96221061,-0.52,5.6
The Nutcracker and the Four Realms,2018,Holiday Family,120000000,173961069,0.45,5.6
Barbershop: The Next Cut,2016,Comedy,20000000,55658961,1.78,5.9
Revenge of the Mekons,2015,Documentary,300000,11861,-0.96,7.4
Borderline,2025,Dark Comedy,5000000,13472,-1,5.3
Eisenstein in Guanajuato,2015,Biography,2472000,91916,-0.96,6.3
Riders of Justice,2021,Dark Comedy,5300000,2001176,-0.62,7.5
Kak Vitka Chesnok vyoz Lyokhu Shtyrya v dom invalidov,2018,Crime,25000000,112071,-1,7.1
Kicks,2016,Adventure,2000000,150191,-0.92,6.4
Doctor Strange in the Multiverse of Madness,2022,Dark Fantasy,414900000,955775804,1.3,6.9
Strawberry Mansion,2021,Adventure Epic,200000,97526,-0.51,6.4
The Blackening,2023,Slasher Horror,5000000,18169453,2.63,6
Barbie,2023,High-Concept Comedy,100000000,1447038421,13.47,6.8
Uproar,2023,Drama,7000000,768664,-0.89,6.6
The New Girlfriend,2015,Comedy,8946323,5215796,-0.42,6.5
Black Site,2022,Action,15000000,119089,-0.99,4.4
Space Jam: A New Legacy,2021,Basketball,150000000,163692228,0.09,4.5
"Paul, Apostle of Christ",2018,Adventure,5000000,25915966,4.18,6.6
Memory,2022,One-Person Army Action,30000000,13240559,-0.56,5.7
The Times of Bill Cunningham,2018,Documentary,300000,134288,-0.55,6.8
Last Breath,2025,Sea Adventure,24000000,22448601,-0.06,6.6
Hollywould,2019,Crime,250000,11888,-0.95,3.7
The Masked Saint,2016,Action,3500000,182695,-0.95,4.7
Hellboy,2019,Dark Fantasy,50000000,55065289,0.1,5.3
Film Stars Don't Die in Liverpool,2017,Biography,10000000,4047917,-0.6,6.7
Star Trek Beyond,2016,Space Sci-Fi,185000000,343471816,0.86,7
Golden Voices,2022,Comedy,3310000,50657,-0.98,7
Journey to the West: The Demons Strike Back,2017,Adventure,63300000,247585244,2.91,5.4
Elvis,2022,Docudrama,85000000,288670284,2.4,7.3
The Gardener,2025,Action,10000000,4772,-1,4.1
Malignant,2021,Body Horror,40000000,34891791,-0.13,6.2
The Age of Adaline,2015,Feel-Good Romance,25000000,65663276,1.63,7.2
Tarot,2024,Slasher Horror,8250000,49256239,4.97,4.8
The Addams Family,2019,Computer Animation,24000000,204394183,7.52,5.8
Peter Rabbit,2018,Animal Adventure,50000000,351516614,6.03,6.6
The Marksman,2021,Contemporary Western,23000000,23076711,0,5.7
Table 19,2017,Comedy,5000000,5042014,0.01,5.8
Midnight Sun,2018,Coming-of-Age,2800000,27365467,8.77,6.6
Til Death Do Us Part,2023,Action,3000000,113607,-0.96,3.8
West Side Story,2021,Crime,100000000,76016171,-0.24,7.1
Sausage Party,2016,Adult Animation,19000000,140705322,6.41,6.1
xXx: Return of Xander Cage,2017,Action,85000000,346118277,3.07,5.2
Whisky Galore,2017,Comedy,5400000,659920,-0.88,5.9
The Comeback Trail,2021,Comedy,25000000,2407255,-0.9,5.7
The Intruder,2019,Horror,8000000,36599361,3.57,5.6
Restored Me,2016,Drama,750000,42173,-0.94,6.4
Worlds Apart,2017,Drama,1700000,5011560,1.95,7.4
Sonic the Hedgehog,2020,Animal Adventure,85000000,319715683,2.76,6.5
Infinitely Polar Bear,2015,Comedy,6700000,2071383,-0.69,6.9
They Shot the Piano Player,2023,Animation,6216000,397411,-0.94,6.6
Snake Eyes,2021,Martial Arts,88000000,40064325,-0.54,5.4
His Only Son,2023,Drama,250000,13817186,54.27,5.9
Priyotoma,2023,Action,25000000,143670,-0.99,5.6
Mission: Impossible - Dead Reckoning Part One,2023,Action Epic,291000000,571125435,0.96,7.6
Anora,2024,Dark Comedy,6000000,56413215,8.4,7.6
First Reformed,2018,Psychological Drama,3500000,3870404,0.11,7.1
The Meddler,2016,Comedy,3200000,5427719,0.7,6.3
Beating Hearts,2024,Crime,35700000,36028488,0.01,7
Lion,2017,Coming-of-Age,12000000,140853810,10.74,8
Sherlock Gnomes,2018,Computer Animation,59000000,90497778,0.53,5.3
Abigail,2024,Dark Comedy,28000000,42791449,0.53,6.6
Tel Aviv on Fire,2019,Comedy,2700000,1809679,-0.33,6.7
Oppenheimer,2023,Docudrama,100000000,975811333,8.76,8.3
Thugs of Hindostan,2018,Action Epic,20000000,39570044,0.98,4.1
Alita: Battle Angel,2019,Cyberpunk,170000000,404980543,1.38,7.3
The First Omen,2024,Supernatural Horror,30000000,53845880,0.79,6.5
Furious 7,2015,Car Action,190000000,1515342457,6.98,7.1
Easter Sunday,2022,Comedy,17000000,13074255,-0.23,5.3
Synchronic,2020,Psychological Horror,4000000,1483731,-0.63,6.2
Godzilla vs. Kong,2021,Dinosaur Adventure,200000000,470116094,1.35,6.3
The Martian,2015,Space Sci-Fi,108000000,630621406,4.84,8
Phantom Thread,2018,Period Drama,35000000,52204454,0.49,7.4
Song One,2015,Drama,6000000,408918,-0.93,5.8
Café Society,2016,Period Drama,30000000,43763247,0.46,6.6
I Care a Lot,2021,Dark Comedy,14000000,1351662,-0.9,6.4
The Post,2018,Docudrama,50000000,193764664,2.88,7.2
Trumbo,2015,Showbiz Drama,15000000,11430025,-0.24,7.4
Furiosa: A Mad Max Saga,2024,Action Epic,168000000,174175791,0.04,7.5
Heist,2015,Action,8900000,3777046,-0.58,6.1
My Big Fat Greek Wedding 2,2016,Romantic Comedy,18000000,90632641,4.04,6
The Gallows,2015,Found Footage Horror,100000,42964410,428.64,4.2
Spirits' Homecoming,2016,Drama,1960000,23857217,11.17,6.7
Beer League,2021,Comedy,2800000,472185,-0.83,5.9
Kraven the Hunter,2024,One-Person Army Action,110000000,61985742,-0.44,5.4
The Sisters Brothers,2018,Period Drama,38000000,13143056,-0.65,6.9
R100,2015,Comedy,5500000,24956,-1,5.9
BlacKkKlansman,2018,Cop Drama,15000000,93413709,5.23,7.5
The Ultimate Life,2018,Drama,3100000,1327841,-0.57,6.1
War for the Planet of the Apes,2017,Action Epic,150000000,490719763,2.27,7.4
Marco,2024,Action Epic,320000000,1983898,-0.99,6.9
The Empire,2024,Parody,7990000,25425,-1,5.2
Bridge of Spies,2015,Legal Drama,40000000,165478348,3.14,7.6
The Expendables 4,2023,Action Epic,100000000,37917985,-0.62,4.8
The Machine,2023,Action,20000000,10664328,-0.47,5.7
The Hill Chris Climbed: The Gridiron Heroes Story,2015,Biography,100000,23487,-0.77,8
Post Mortem,2022,Supernatural Horror,2800000,508801,-0.82,5.5
Top Gun: Maverick,2022,Action Epic,170000000,1495696292,7.8,8.2
Godzilla x Kong: The New Empire,2024,Action Epic,135000000,571850016,3.24,6.1
Thank You for Your Service,2017,Biography,20000000,9995692,-0.5,6.6
Above and Beyond,2015,Adventure,1300000,288751,-0.78,7.7
"Quo Vadis, Aida?",2021,Drama,4500000,813253,-0.82,8
Cold War,2018,Drama,4300000,20484802,3.76,7.5
The Flash,2023,Superhero,200000000,271433313,0.36,6.6
The Boss,2016,Comedy,29000000,78844582,1.72,5.4
Ant-Man,2015,Superhero,130000000,519311965,2.99,7.2
3 from Hell,2019,Action,3000000,2295825,-0.23,5.4
Road Hard,2015,Stand-Up,1500000,113169,-0.92,6
Just Getting Started,2017,Comedy,22000000,7634022,-0.65,4.6
Paterson,2016,Feel-Good Romance,5000000,9595362,0.92,7.3
Sweetwater,2023,Basketball,8000000,541633,-0.93,6.1
Woodlawn,2015,Football,12000000,14401617,0.2,6.4
Kingsman: The Golden Circle,2017,Drug Crime,104000000,410902662,2.95,6.7
Trainwreck,2015,Raunchy Comedy,35000000,140795793,3.02,6.2
Suicide Squad,2016,Dark Comedy,175000000,749200054,3.28,5.9
Playing with Fire,2019,Slapstick,29900000,69412425,1.32,5.2
Mean Girls,2024,Pop Musical,36000000,104970953,1.92,5.5
Bombshell,2019,Docudrama,32000000,61404394,0.92,6.8
Happy Death Day 2U,2019,Dark Comedy,9000000,64600152,6.18,6.2
The Wandering Earth II,2023,Action,900000000,615023132,-0.32,6.7
The Witch,2016,Dark Fantasy,4000000,40423945,9.11,7
Fast X,2023,Action Epic,340000000,704875015,1.07,5.7
The Secret: Dare to Dream,2020,Drama,21000000,3215636,-0.85,6.5
Killer Unicorn,2019,Horror,150000,39058,-0.74,3.2
Sisters,2015,Buddy Comedy,30000000,105011053,2.5,6
The Tax Collector,2020,Gangster,20000000,1325781,-0.93,4.9
Ferdinand,2017,Animal Adventure,111000000,296069199,1.67,6.7
The Birth of a Nation,2016,Biography,8500000,16779212,0.97,6.5
Buñuel in the Labyrinth of the Turtles,2019,Animation,1800000,185675,-0.9,7.1
Atomic Blonde,2017,Gun Fu,30000000,100014025,2.33,6.7
Overcomer,2019,Basketball,5000000,38026103,6.61,6.7
The Glorias,2020,Biography,20000000,30940,-1,6
Christmas vs. The Walters,2021,Comedy,6000000,55121,-0.99,4.5
Unsung Hero,2024,Drama,6000000,21214331,2.54,7
12 Strong,2018,Action,35000000,67359190,0.92,6.5
No Time to Die,2021,Action Epic,250000000,774153007,2.1,7.3
Best F(r)iends: Volume 1,2018,Comedy,1500000,290064,-0.81,5.2
Clifford the Big Red Dog,2021,Animal Adventure,64000000,115941364,0.81,5.9
Mandy,2018,Dark Fantasy,6000000,1764971,-0.71,6.5
Alone,2020,Psychological Drama,750000,642502,-0.14,6.2
Back to Burgundy,2017,Comedy,7870000,11625884,0.48,6.8
Dark Places,2015,Whodunnit,20000000,5090852,-0.75,6.2
Wish,2023,Computer Animation,200000000,254997360,0.27,5.6
Dashcam,2022,Found Footage Horror,100000,66915,-0.33,4.5
Searching,2018,Psychological Thriller,880000,75462037,84.75,7.6
Lansky,2021,Gangster,5000000,136579,-0.97,6.2
The Exorcism,2024,Psychological Horror,22000000,12610418,-0.43,4.2
Priscilla,2023,Coming-of-Age,20000000,33112676,0.66,6.5
Gretel & Hansel,2020,Dark Fantasy,5000000,22304357,3.46,5.5
Stan & Ollie,2019,Biography,10000000,24420923,1.44,7.2
Jupiter Ascending,2015,Sci-Fi Epic,176000000,184287723,0.05,5.3
The Woman King,2022,Action Epic,50000000,97562514,0.95,6.9
Terminator Genisys,2015,Cyber Thriller,155000000,440603537,1.84,6.3
The Big Short,2015,Dark Comedy,28000000,133440870,3.77,7.8
Before I Fall,2017,Drama,5000000,16373843,2.27,6.4
Union,2019,Drama,500000,41656,-0.92,4.6
The Predator,2018,Alien Invasion,88000000,160542134,0.82,5.3
Nothing to Lose,2018,Biography,16000000,36075317,1.25,2.4
The Tale of King Crab,2021,Adventure,1450000,39871,-0.97,6.7
1917,2020,Epic,95000000,446064352,3.7,8.2
